LR;SV_RAW;SV;DIST;SERIES
0,0144;2019;1820;4;at noozle
0,0144;1942;1743;4;at noozle
0,0144;1874;1675;4;at noozle
0,0144;2035;1836;4;at noozle
0,0144;2107;1908;4;at noozle
0,0144;1942;1743;4;at noozle
0,0144;1823;1624;4;at noozle
0,0144;1667;1468;4;at noozle
0,0144;1814;1615;4;at noozle
0,0144;1943;1744;4;at noozle
0,0144;2192;1993;4;at noozle
0,0144;2375;2176;4;at noozle
0,0144;2165;1966;4;at noozle
0,0144;2095;1896;4;at noozle
0,0144;2295;2096;4;at noozle
0,0144;2565;2366;4;at noozle
0,0144;2936;2737;4;at noozle
0,0144;3646;3447;4;at noozle
0,0144;4516;4317;4;at noozle
0,0144;4563;4364;4;at noozle
0,0144;4159;3960;4;at noozle
0,0144;4052;3853;4;at noozle
0,0144;3996;3797;4;at noozle
0,0144;4286;4087;4;at noozle
0,0144;4237;4038;4;at noozle
0,0144;4816;4617;4;at noozle
0,0144;5746;5547;4;at noozle
0,0144;6086;5887;4;at noozle
0,0144;6412;6213;4;at noozle
0,0144;6956;6757;4;at noozle
0,0144;7106;6907;4;at noozle
0,0144;6869;6670;4;at noozle
0,0144;6029;5830;4;at noozle
0,0144;5655;5456;4;at noozle
0,0144;5051;4852;4;at noozle
0,0348;7045;6846;4;at noozle
0,0348;7715;7516;4;at noozle
0,0348;7371;7172;4;at noozle
0,0348;7121;6922;4;at noozle
0,0348;7542;7343;4;at noozle
0,0348;7755;7556;4;at noozle
0,0348;7811;7612;4;at noozle
0,0348;7729;7530;4;at noozle
0,0348;8321;8122;4;at noozle
0,0348;7835;7636;4;at noozle
0,0348;7553;7354;4;at noozle
0,0348;8095;7896;4;at noozle
0,0348;8427;8228;4;at noozle
0,0348;8001;7802;4;at noozle
0,0348;7690;7491;4;at noozle
0,0348;6038;5839;4;at noozle
0,0348;5182;4983;4;at noozle
0,0348;4641;4442;4;at noozle
0,0348;4785;4586;4;at noozle
0,0348;7118;6919;4;at noozle
0,0348;9103;8904;4;at noozle
0,0348;8850;8651;4;at noozle
0,0348;7895;7696;4;at noozle
0,0348;8508;8309;4;at noozle
0,0348;8137;7938;4;at noozle
0,0348;8567;8368;4;at noozle
0,0348;8527;8328;4;at noozle
0,0348;7948;7749;4;at noozle
0,0348;6270;6071;4;at noozle
0,0348;5239;5040;4;at noozle
0,0348;5155;4956;4;at noozle
0,0348;5869;5670;4;at noozle
0,0348;4709;4510;4;at noozle
0,0348;4197;3998;4;at noozle
0,0348;3590;3391;4;at noozle
0,0348;2998;2799;4;at noozle
0,0348;2697;2498;4;at noozle
0,0348;2672;2473;4;at noozle
0,0348;2809;2610;4;at noozle
0,0348;3270;3071;4;at noozle
0,0348;3826;3627;4;at noozle
0,0348;6988;6789;4;at noozle
0,0348;6731;6532;4;at noozle
0,0348;6644;6445;4;at noozle
0,0348;5069;4870;4;at noozle
0,0348;5696;5497;4;at noozle
0,0348;5247;5048;4;at noozle
0,0348;4511;4312;4;at noozle
0,0348;2689;2490;4;at noozle
0,0348;2229;2030;4;at noozle
0,0348;2270;2071;4;at noozle
0,0348;2488;2289;4;at noozle
0,0348;2483;2284;4;at noozle
0,0348;2398;2199;4;at noozle
0,0348;2712;2513;4;at noozle
0,0348;2599;2400;4;at noozle
0,0348;2653;2454;4;at noozle
0,0348;2579;2380;4;at noozle
0,0348;2508;2309;4;at noozle
0,0348;2586;2387;4;at noozle
0,0348;2568;2369;4;at noozle
0,0348;2597;2398;4;at noozle
0,0348;2800;2601;4;at noozle
0,0348;2678;2479;4;at noozle
0,0348;2921;2722;4;at noozle
0,0348;3233;3034;4;at noozle
0,0348;3111;2912;4;at noozle
0,0348;3107;2908;4;at noozle
0,0348;3346;3147;4;at noozle
0,0348;3203;3004;4;at noozle
0,0348;3798;3599;4;at noozle
0,0348;4367;4168;4;at noozle
0,0348;4302;4103;4;at noozle
0,0348;4844;4645;4;at noozle
0,0348;7596;7397;4;at noozle
0,0348;7833;7634;4;at noozle
0,0348;8242;8043;4;at noozle
0,0348;8638;8439;4;at noozle
0,0348;8307;8108;4;at noozle
0,0348;7542;7343;4;at noozle
0,0348;5505;5306;4;at noozle
0,0348;5964;5765;4;at noozle
0,0348;6378;6179;4;at noozle
0,0348;6987;6788;4;at noozle
0,0348;6986;6787;4;at noozle
0,0348;6120;5921;4;at noozle
0,0348;4577;4378;4;at noozle
0,0348;3318;3119;4;at noozle
0,0348;3062;2863;4;at noozle
0,0348;3436;3237;4;at noozle
0,0348;3435;3236;4;at noozle
0,0348;3600;3401;4;at noozle
0,0348;3687;3488;4;at noozle
0,0348;3576;3377;4;at noozle
0,0348;4007;3808;4;at noozle
0,0348;4932;4733;4;at noozle
0,0348;4159;3960;4;at noozle
0,0348;3453;3254;4;at noozle
0,0348;3250;3051;4;at noozle
0,0348;3334;3135;4;at noozle
0,057;5015;4816;4;at noozle
0,057;4850;4651;4;at noozle
0,057;4406;4207;4;at noozle
0,057;4981;4782;4;at noozle
0,057;4283;4084;4;at noozle
0,057;4306;4107;4;at noozle
0,057;4224;4025;4;at noozle
0,057;3785;3586;4;at noozle
0,057;3792;3593;4;at noozle
0,057;3359;3160;4;at noozle
0,057;2742;2543;4;at noozle
0,057;3216;3017;4;at noozle
0,057;2964;2765;4;at noozle
0,057;3133;2934;4;at noozle
0,057;3476;3277;4;at noozle
0,057;4165;3966;4;at noozle
0,057;4089;3890;4;at noozle
0,057;4380;4181;4;at noozle
0,057;4951;4752;4;at noozle
0,057;4769;4570;4;at noozle
0,057;3991;3792;4;at noozle
0,057;4158;3959;4;at noozle
0,057;3989;3790;4;at noozle
0,057;3715;3516;4;at noozle
0,057;3616;3417;4;at noozle
0,057;5187;4988;4;at noozle
0,057;3805;3606;4;at noozle
0,057;3938;3739;4;at noozle
0,057;4365;4166;4;at noozle
0,057;4271;4072;4;at noozle
0,057;3034;2835;4;at noozle
0,057;2691;2492;4;at noozle
0,057;2643;2444;4;at noozle
0,057;2866;2667;4;at noozle
0,057;3339;3140;4;at noozle
0,057;2935;2736;4;at noozle
0,057;2885;2686;4;at noozle
0,057;3278;3079;4;at noozle
0,057;2976;2777;4;at noozle
0,057;2929;2730;4;at noozle
0,057;3718;3519;4;at noozle
0,057;4375;4176;4;at noozle
0,057;5733;5534;4;at noozle
0,057;5038;4839;4;at noozle
0,057;5351;5152;4;at noozle
0,057;5705;5506;4;at noozle
0,057;4844;4645;4;at noozle
0,057;5137;4938;4;at noozle
0,057;5123;4924;4;at noozle
0,057;4352;4153;4;at noozle
0,057;4169;3970;4;at noozle
0,057;4245;4046;4;at noozle
0,057;5231;5032;4;at noozle
0,057;5294;5095;4;at noozle
0,057;5806;5607;4;at noozle
0,057;5933;5734;4;at noozle
0,057;5617;5418;4;at noozle
0,057;5681;5482;4;at noozle
0,057;5670;5471;4;at noozle
0,057;6050;5851;4;at noozle
0,057;6478;6279;4;at noozle
0,057;5975;5776;4;at noozle
0,057;5650;5451;4;at noozle
